job_title,job_date,job_desc,job_tasks,comp_name,comp_type,comp_size,eco_activity,qualifications,region,city,benefits,contract,positions,exper,gender,salary_sep,benefits_sep,occupied_positions,total_positions,experience (Years),job_date_gregorian,city_corrected,qualifications_corrected
أخصائي مبيعات,21/04/1444,وضع سياسات البيع ومتابعة تنفيذها وتقييم النتائج وإعداد الوثائق والتقارير المتخصصة والمتعلقة في مجال المبيعات وعرضها وحفظها.,"['   دراسة ومتابعة تطورات السوق وتحديد وتطوير الأهداف التسويقية وطرق البيع وتقدير حجم المبيعات المتوقع وترجمة الأهداف إلى خطط بيعية.', '  اقتراح سياسات البيع، ومتابعة تنفيذ السياسات والطرق البيعية ووضع وتقييم البرامج الترويجية.', '  التواصل مع الزبائن وتحديد مشكلاتهم ومتابعة المنافسين وبرامجهم البيعية لتجنب المخاطر المستقبلية.', '  تقييم نتائج أعمال مندوبي البيع، وتقييم مدى تحقيق الأهداف البيعية واقتراح الخطط والإجراءات التصحيحية.', '  إعداد الوثائق والتقارير المتخصصة والمتعلقة بالمبيعات وتقديم التوصيات المناسبة والحلول الملائمة وعرضها وتوضيحها وحفظها في قاعدة البيانات الخاصة بها وفقاً للسياسات والإجراءات المعتمدة.', '  ']",شركة عالم المحركات للتجارة (شركة شخص واحد),خاص,متوسطة فئة أ,تلميع السيارات (البوليش),"['Language data', 'الأنجليزية', 'محترف']",المنطقة الشرقية,AL KHUBAR...,"['Salary', '4000.0']",دوام كامل,0 / 1,2 Years,M,4000.0,غير محدد,0,1,2,2022-11-15,Al-Khobar,الأنجليزية: محترف
مشرف صيانة,21/04/1444,إعداد خطة وبرنامج العمل، ومتابعة إجراءات تحديد نوع وطبيعة الصيانة، وتوزيع المهام على فريق العمل، وتصميم الاحتياجات التدريبية لفريق الصيانة، وإعداد برنامج الصيانة الوقائية.,"['   متابعة إجراءات تحديد نوع وطبيعة الصيانة وتقدير كمية وكلفة المواد اللازمة.', '  توزيع المهام والواجبات على أعضاء فريق الصيانة بحسب إمكاناتهم وقدراتهم ومتابعة وتقييم أداء فريق الصيانة وتقييم إنجازاتهم', '  تقييم الاحتياجات التدريبية لفرق الصيانة وتنمية مهاراتهم أو التوصية بإلحاقهم ببرامج تدريبية متخصصة.', '  إعداد برامج الصيانة الوقائية ومتابعة إجراءات تنفيذها.', '  تصنيف وترتيب وتوثيق وحفظ النتائج وتقارير العمل.', '  ']",شركة عالم المحركات للتجارة (شركة شخص واحد),خاص,متوسطة فئة أ,تلميع السيارات (البوليش),"['Skill data', 'العمل تحت الضغط', 'متوسط', 'التواصل الفعال ', 'محترف']",المنطقة الشرقية,AL KHUBAR...,"['Salary', '4000.0']",دوام كامل,0 / 1,0 Years,M,4000.0,غير محدد,0,1,0,2022-11-15,Al-Khobar,العمل تحت الضغط: متوسط، التواصل الفعال: محترف
مدير متجر,21/04/1444,الإشراف على وضع الأهداف التشغيلية للمتجر، والإشراف المباشر على تخطيط وتنظيم وإدارة أعمال المتجر بما يتوافق مع مع هذه الخطط، وضمان توافر كافة الموارد التي تضمن سير العمليات اليومية بأكبر كفاءة وفعالية ممكنة.,"['   الإشراف على وضع الأهداف والخطط التشغيلية للمتجر وتطوير ووضع وتنسيق الإجراءات التشغيلية لموظفيه وتحديد المهام والمسؤوليات المناطة بهم وتوزيعها عليهم.', '  الإشراف العام على أداء المتجر ومتابعة الأنشطة اليومية والتأكد من توفير الدعم والمعلومات لفرق العمل والموارد اللازمة لتنفيذ هذه الأنشطة والتأكد من ملاءمتها لمعايير الجودة المعتمدة.', '  مراقبة مستوى وكميات مختلف السلع والبضائع في المتجر والتنسيق مع الجهات المعنية بهدف تنفيذ طلبات الشراء اللازمة لها بما يتواءم مع الكميات والمواصفات المحددة لها.', '  مراقبة التزام موظفي المتجر بالتوجيهات والمهام المسندة إليهم والتأكد من قيامهم بأدائها بشكل فعال.', '  ضمان تنفيذ إدارة المتجر لكافة الأنظمة والقرارات المتعلقة والتواصل مع الموظفين لتعزيز فهمهم وإحاطتهم بكافة المستجدات.', '  ']",مؤسسة عبدالرحمن بن وليد الدليجان التجارية,خاص,صغيرة فئة ب,البيع بالتجزئة للمعدات الرياضية والصيد والدراجات الهوائية وغيرها,"['Skill data', 'خدمة العملاء', 'محترف', 'استخدام الحاسب', 'محترف', 'Language data', 'الأنجليزية', 'متوسط']",الرياض,AR RIYADH...,"['Salary', '5000.0', 'Benefits', 'بدل أنتقال', 'حوافز على المبيعات']",دوام كامل,0 / 1,2 Years,M,0.0,غير محدد,0,1,2,2022-11-15,Riyadh,خدمة العملاء: محترف، استخدام الحاسب: محترف، الأنجليزية: متوسط
بائع,21/04/1444,بيع مجموعة من السلع والخدمات للعملاء، وتوفير المعلومات المتعلقة بالمنتجات واستخداماتها وأسعارها، وتولي أمور الدفع وتلقي المدفوعات من العملاء.,"['   بيع مجموعة من السلع والخدمات للعملاء.', '  توفير المعلومات المتعلقة بالمنتجات، والاستخدامات، والأسعار.', '  مراقبة مستويات المخزون والحفاظ على ترتيب المتجر، وإصدار طلبات لشراء المنتجات، والتعامل مع المنتجات الواردة.', '  تولي أمور الدفع وتلقي المدفوعات من العملاء، ومعالجة طلبات استبدال المنتجات، والمرتجعات وفقاً للسياسة المتبعة.', '  ', '  ']",مؤسسة عبدالرحمن بن وليد الدليجان التجارية,خاص,صغيرة فئة ب,البيع بالتجزئة للمعدات الرياضية والصيد والدراجات الهوائية وغيرها,"['Skill data', 'خدمة العملاء', 'متوسط', 'استخدام الحاسب', 'متوسط', 'Language data', 'الأنجليزية', 'مبتدئ']",الرياض,AR RIYADH...,"['Salary', '4000.0', 'Benefits', 'بدل تنقل ', 'حوافز ماديه على المبيعات ']",دوام كامل,0 / 1,0 Years,M,0.0,غير محدد,0,1,0,2022-11-15,Riyadh,خدمة العملاء: متوسط، استخدام الحاسب: متوسط، الأنجليزية: مبتدئ
أخصائي نفسي,21/04/1444,القيام بالبحث في أوجه النشاط النفسي المشتركة بين الناس جميعا والكشف عن القوانين والمبادئ التي تعمل على تفسير سلوك الفرد في اثناء عملية تفاعله مع المنبهات المحيطة وإعداد الوثائق والتقارير المتخصصة والمتعلقة في مجال علم النفس وعرضها وحفظها.,"['   دراسة جميع مظاهر الحياة النفسية عن طريق دراسة جوانب السلوك المختلفة مثل: الحركي والعقلي والانفعالي والاجتماعي، ودراسة مبادئ التعلم لحالات التعلم الإنساني واشكاله المتعددة وإجراء دراسات ميدانية لتطبيق اختبارات الذكاء والأداء لقياس انماط النمو العقلي والنفسي.', '  دراسة المبادئ والقوانين العامة لاستخلاص الاسس المميزة للسلوك الإنساني، وتحليل تطوير الاتجاهات والقيم الاجتماعية عن طريق المعلومات المستنبطة من المراقبة والمتابعة أو البحوث والتجارب الميدانية.', '  دراسة وتطوير نظريات واستخدامات تطبيقية في مجال تعديل السلوك.', '  دراسة الأسس البيولوجية للسلوك عن طريق التعرف إلى اجزاء الجهاز العصبي وأثر ذلك في السلوك.', '  إعداد الوثائق والتقارير المتخصصة بعلم النفس وتقديم التوصيات المناسبة والحلول الملائمة وعرضها وتوضيحها وحفظها في قاعدة البيانات الخاصة بها وفقاً للسياسات والإجراءات المعتمدة.', '  ']",مجمع مطمئنه للطب النفسي,خاص,متوسطة فئة ب,المجمعات الطبية المتخصصة,"['Skill data', 'المرونه في العمل ', 'محترف', 'العمل الجماعي ', 'محترف', 'Language data', 'الانجليزية ', 'محترف']",القصيم,BURAYDAH...,"['Salary', '4000.0', 'Benefits', '400تامينات اجتماعية ']",دوام كامل,0 / 25,0 Years,both,0.0,400تامينات اجتماعية ,0,25,0,2022-11-15,Buraidah,المرونه في العمل: محترف، العمل الجماعي: محترف، الانجليزية: محترف
مشرف إنشاء مباني,21/04/1444,إعداد خطة وبرنامج العمل، ومتابعة تنفيذ إنشاء الأبنية بحسب المواصفات والبرامج التنفيذية، وقياس الأعمال المنجزة بالتنسيق مع مهندس الأبنية المشرف، وإعداد وتقديم تقارير العمل.,"['   دراسة المخططات المعمارية والإنشائية للأبنية ووثائق المناقصة وإعداد خطة وبرنامج العمل بالتنسيق مع مهندس الأبنية المشرف، وتقدير كمية المواد وحجم العمالة اللازمة.', '  متابعة إجراءات ونشاطات تنفيذ الأبنية وضمان التقيد بالمواصفات المحددة.', '  أخذ عينات عشوائية من مواد البناء والخلطات الاسمنتية بحسب تعليمات مهندس الأبنية المشرف وإرسالها إلى المختبر للفحص ومطابقة المواصفات .', '  أخذ عينات عشوائية من الخلطات الاسمنتية وارسالها إلى المختبر ومطابقة المواصفات.', '  إعداد وتقديم تقارير العمل وتوثيقها وحفظها.', '  ']",شركة المسكن الراقي للتطوير العقاري,خاص,صغيرة فئة ب,شراء وبيع الاراضى والعقارات وتقسيمها وأنشطة البيع على الخارطة,غير معروف,المدينة المنورة,AL MADINA...,"['Salary', '4000.0']",دوام كامل,0 / 2,2 Years,M,4000.0,غير محدد,0,2,2,2022-11-15,Medina,
مندوب مبيعات,21/04/1444,جمع البيانات والمواصفات المتعلقة بالمنتجات (السلع والخدمات)، وإعداد قاعدة بيانات بالعملاء الحاليين والمرتقبين والاتصال بالعملاء أو زيارتهم وتقديم عروض البيع ، وإتمام عملية البيع، ومتابعة العملاء وتحصيل الديون، وإعداد وتقديم تقارير العمل,"['   بناء قاعدة بينات للعملاء الحاليين والمرتقبين مع بياناتهم وعنأوينهم وأرقام هواتفهم', '  الاتصال بالعملاء أو زيارتهم لترويج المنتجات (السلع والخدمات) وتقديم عروض البيع، واستعراض مواصفاتها وميزتها التنافسية', '  التحقق من الأسعار ومنح الخصومات ضمن الصلاحية المخولة، وإتمام عملية الييع وتحرير الفاتورة وتحصيل المبلغ', '  تحصيل ديون العملاء وتسجيلها وتوثيقها وتوريدها للدائرة المالية.', '  إعداد وتقديم تقارير العمل وتوثيقها وحفظها.', '  ']",مؤسسة صدى العامه للاتصالات وتقنية المعلومات,خاص,صغيرة فئة ب,تصميم وبرمجة البرمجيات الخاصة,"['Skill data', 'التواصل ', 'محترف', 'Language data', 'اللغه العربية ', 'محترف']",الرياض,AR RIYADH...,"['Salary', '4000.0']",دوام كامل,0 / 1,2 Years,M,4000.0,غير محدد,0,1,2,2022-11-15,Riyadh,التواصل: محترف، اللغه العربية: محترف
مهندس معماري داخلي,21/04/1444,تصميم التعديلات الهيكلية والأثاث والتجهيزات بشكل يتناسب مع المساحات الداخلية، والمساعدة في مباشرة أعمال الإنشاءات.,"['   وضع التصاميم لمشاريع الإنشاءات الداخلية والديكورات، وإدارة فريق التصميم في اختيار المواد وتطوير المواصفات.', '  إعداد نماذج بالحجم الطبيعي والرسومات والنماذج الرقمية وعرضها على العميل وإجراء التعديلات حسب الرغبة.', '  المساعدة في اختيار المقاولين واختيار المواد والإشراف على التنفيذ.', '  تقديم الدعم لمشروعات تنفيذ التصميمات، ومباشرة تنفيذ التصميم من قِبل المقاول.', '  إعداد الوثائق والتقارير المتخصصة بالأعمال والمشروعات الهندسية ونسب تقدمها وعرضها وتوضيحها وحفظها في قاعدة البيانات الخاصة بها وفقاً للسياسات والإجراءات المعتمدة', '  ']",شركة المسكن الراقي للتطوير العقاري,خاص,صغيرة فئة ب,شراء وبيع الاراضى والعقارات وتقسيمها وأنشطة البيع على الخارطة,"['Professional certificate \\ License data', 'اعتماد الهيئة السعودية للمهندسين', 'ضروري']",المدينة المنورة,AL MADINA...,"['Salary', '4000.0']",دوام كامل,0 / 1,0 Years,both,4000.0,غير محدد,0,1,0,2022-11-15,Medina,اعتماد الهيئة السعودية للمهندسين: ضروري
محاسب,21/04/1444,إعداد وتنظيم مستندات الصرف ومتابعة تحصيل الإيرادات وتوثيقها وتحليلها، وإعداد القيود المحاسبية وتسجيل العمليات المالية بالسجلات وتدقيق حسابات البنوك وإعداد التسويات اللازمة وإعداد التقارير والوثائق المتعلقة بالنفقات والإيرادات وحفظها.,"['   تدقيق المطالبات المالية والتأكد من اكتمال شروطها القانونية والمالية، وإعداد وتنظيم وتوثيق مستندات الصرف ومتابعة تدقيقها وإجازتها للصرف من الجهات الرقابية المعتمدة.', '  مراقبة النفقات الجارية والرأسمالية بحسب الموقف المالي الشهري لبنود الموازنة، وإعداد الموقف المالي والخلاصات الشهرية وإعداد وتنظيم الحسابات الختامية السنوية.', '  إعداد القيود المحاسبية وتسجيل العمليات المالية بالسجلات وتدقيق حسابات البنوك وإعداد التسويات اللازمة مع كشوف المطابقة الشهرية.', '  تطوير أساليب وإجراءات المحاسبة ومواكبة التطور العلمي والتقني في مجال المحاسبة.', '  إعداد الوثائق والتقارير المتخصصة في مجال محاسبة النفقات والإيرادات وحفظها في قاعدة البيانات الخاصة بذلك.', '  ']",مؤسسة الأندلس للشقق الفندقية,خاص,صغيرة فئة ب,شراء وبيع الاراضى والعقارات وتقسيمها وأنشطة البيع على الخارطة,"['Language data', 'الإنجليزية', 'متوسط']",مكة المكرمة,JEDDAH...,"['Salary', '6000.0']",دوام كامل,0 / 1,2 Years,both,6000.0,غير محدد,0,1,2,2022-11-15,Jeddah,الإنجليزية: متوسط
بائع,21/04/1444,بيع مجموعة من السلع والخدمات للعملاء، وتوفير المعلومات المتعلقة بالمنتجات واستخداماتها وأسعارها، وتولي أمور الدفع وتلقي المدفوعات من العملاء.,"['   بيع مجموعة من السلع والخدمات للعملاء.', '  توفير المعلومات المتعلقة بالمنتجات، والاستخدامات، والأسعار.', '  مراقبة مستويات المخزون والحفاظ على ترتيب المتجر، وإصدار طلبات لشراء المنتجات، والتعامل مع المنتجات الواردة.', '  تولي أمور الدفع وتلقي المدفوعات من العملاء، ومعالجة طلبات استبدال المنتجات، والمرتجعات وفقاً للسياسة المتبعة.', '  ', '  ']",مقهى بووكا لتقديم المشروبات,خاص,صغيرة فئة ب,محلات تقديم المشروبات ( الكوفي شوب ),"['Language data', 'الانجليزية', 'متوسط']",الباحة,AL BAHA...,"['Salary', '4000.0']",دوام كامل,0 / 1,0 Years,F,4000.0,غير محدد,0,1,0,2022-11-15,Al-Baha,الانجليزية: متوسط
أخصائي قانوني,21/04/1444,مساعدة العملاء والمنشآت في مختلف المسائل القانونية، وصياغة الوثائق القانونية، والتوسط في النزاعات، ومراقبة تنفيذ الأحكام القانونية.,"['   تأهيل الطلبات وتقييم الخيارات القانونية، والبحث في البيانات المتعلقة بالقضايا، والقضايا السابقة، والتشريعات.', '  مساعدة العميل أو المنشأة في صياغة الآراء القانونية والمذكرات التحريرية وغيرها من المذكرات القانونية.', '  إعداد الوثائق القانونية مثل الوصايا والسندات والعقود.', '  إجراء الأبحاث القانونية، ومراجعة الوثائق القانونية، ومعالجة المسائل المهمة.', '  مراجعة عقود المنشآت التجارية وتحديد المخاطر، ومراقبة تنفيذ البنود القانونية.', '  ']",شركة التشييد الشرقي للمقاولات شركة شخص واحد,خاص,متوسطة فئة ب,إصلاح وصيانة السدود,"['Skill data', 'الالمام بالقانون ', 'محترف', 'Language data', 'انجليزي ', 'متوسط', 'Professional certificate \\ License data', 'بكالوريس ', 'ضروري']",مكة المكرمة,JEDDAH...,"['Salary', '4000.0', 'Benefits', 'الراتب يتحدد بعد المقابلة الشخصية ']",دوام كامل,0 / 3,2 Years,both,0.0,الراتب يتحدد بعد المقابلة الشخصية ,0,3,2,2022-11-15,Jeddah,الالمام بالقانون: محترف، انجليزي: متوسط، بكالوريس: ضروري
مدير صيانة,21/04/1444,وضع خطط صيانة المرافق والمعدات وتوجيهها وتنسيقها، وإدارة العمليات اليومية، وضمان تنفيذ أعمال الصيانة دون تأخير بما يضمن تقليل زمن التعطل عن العمل.,"['   تطوير الاستراتيجيات والإجراءات الشاملة لأعمال الصيانة في المصنع، والتخطيط لأعمال الصيانة الوقائية وعمليات التفتيش ومباشرة تنفيذها، والتنسيق مع قسم الإنتاج بشأن التصليحات.', '  مباشرة أنشطة التخطيط والأنشطة اليومية لموظفي الصيانة، وضمان تنفيذ أعمال الصيانة دون تأخير بما يضمن تقليل وقت التعطل عن العمل.', '  الفحص الدوري للمعدات المهمة في المصنع، ومعالجة المشاكل الهندسة والتشغيلية قصيرة وطويلة الأجل.', '  اختيار الموظفين وتدريبهم والإشراف عليهم، ومراقبة أدائهم وسلوكهم مقارنةً مع الأهداف.', '  وضع السياسات والإجراءات لضمان الالتزام بقوانين ولوائح الصحة والسلامة والبيئة، ومباشرة تنفيذها و البقاء على اطلاع على اتجاهات القطاع، وتحديد مبادرات تهدف للتحسين المستمر للعمليات التشغيلية، وتنفيذ مثل هذه المبادرات.', '  ']",شركة التشييد الشرقي للمقاولات شركة شخص واحد,خاص,متوسطة فئة ب,إصلاح وصيانة السدود,"['Skill data', 'الالمام بأمور الصيانة ', 'محترف', 'Language data', 'انجليزي ', 'متوسط', 'Professional certificate \\ License data', 'هيئة المهندسين ', 'ضروري']",مكة المكرمة,JEDDAH...,"['Salary', '10000.0', 'Benefits', 'الراتب يتراوح من 10000 الى 15000 ويتحدد بعد المقابلة الشخصية ']",دوام كامل,0 / 1,4 Years,M,0.0,الراتب يتراوح من 10000 الى 15000 ويتحدد بعد المقابلة الشخصية ,0,1,4,2022-11-15,Jeddah,الالمام بأمور الصيانة: محترف، انجليزي: متوسط، هيئة المهندسين: ضروري
محاسب,21/04/1444,إعداد وتنظيم مستندات الصرف ومتابعة تحصيل الإيرادات وتوثيقها وتحليلها، وإعداد القيود المحاسبية وتسجيل العمليات المالية بالسجلات وتدقيق حسابات البنوك وإعداد التسويات اللازمة وإعداد التقارير والوثائق المتعلقة بالنفقات والإيرادات وحفظها.,"['   تدقيق المطالبات المالية والتأكد من اكتمال شروطها القانونية والمالية، وإعداد وتنظيم وتوثيق مستندات الصرف ومتابعة تدقيقها وإجازتها للصرف من الجهات الرقابية المعتمدة.', '  مراقبة النفقات الجارية والرأسمالية بحسب الموقف المالي الشهري لبنود الموازنة، وإعداد الموقف المالي والخلاصات الشهرية وإعداد وتنظيم الحسابات الختامية السنوية.', '  إعداد القيود المحاسبية وتسجيل العمليات المالية بالسجلات وتدقيق حسابات البنوك وإعداد التسويات اللازمة مع كشوف المطابقة الشهرية.', '  تطوير أساليب وإجراءات المحاسبة ومواكبة التطور العلمي والتقني في مجال المحاسبة.', '  إعداد الوثائق والتقارير المتخصصة في مجال محاسبة النفقات والإيرادات وحفظها في قاعدة البيانات الخاصة بذلك.', '  ']",شركة التشييد الشرقي للمقاولات شركة شخص واحد,خاص,متوسطة فئة ب,إصلاح وصيانة السدود,"['Skill data', 'اتقاان عمل المحاسبة ', 'محترف', 'Language data', 'انجليزي ', 'متوسط', 'Professional certificate \\ License data', 'هيئة المحاسبين ', 'ضروري']",مكة المكرمة,JEDDAH...,"['Salary', '5000.0', 'Benefits', 'الراتب الاساسي يتحدد بعد المقابلة ']",دوام كامل,0 / 5,2 Years,both,0.0,الراتب الاساسي يتحدد بعد المقابلة ,0,5,2,2022-11-15,Jeddah,اتقاان عمل المحاسبة: محترف، انجليزي: متوسط، هيئة المحاسبين: ضروري
كاتب موارد بشرية,21/04/1444,الحفاظ على سجلات الموظفين وتحديثها، وإعداد التقارير المتعلقة بالتوظيف، ورفعها إلى المختصين.,"['   حفظ سجلات الموظفين، وتحديثها، وتسجيل البيانات الشخصية للموظفين الجدد، وضمان اكتمال الوثائق المقدمة.', '  معالجة طلبات التوظيف والترقية، والنقل والإعارة زمتابعتها، وجمع بيانات إضافية عند الحاجة.', '  تسجيل الوقوعات على حالة الموظف وتحديث بياناته المسجلة وحفظ المستندات المؤيدة للوقوعات، وإخطار الجهات ذات الصلة', '  الحفاظ على سرية بيانات الموظفين والتعامل معها بحرص والتحقق من عدم تسريبها وتداولها مع الاطراف المعنية حسب التعليمات الموضوعة', '  إعداد التقارير المتعلقة بالتوظيف ورفعها إلى المختصين.', '  ']",شركة التشييد الشرقي للمقاولات شركة شخص واحد,خاص,متوسطة فئة ب,إصلاح وصيانة السدود,"['Skill data', 'إتقان عمل الموارد البشرية ', 'محترف', 'Language data', 'انجليزي ', 'مبتدئ', 'Professional certificate \\ License data', 'البكالوريس ', 'ضروري']",مكة المكرمة,JEDDAH...,"['Salary', '4000.0', 'Benefits', 'الراتب يتحدد بعد المقابله الشخصية ']",دوام كامل,0 / 5,2 Years,both,0.0,الراتب يتحدد بعد المقابله الشخصية ,0,5,2,2022-11-15,Jeddah,إتقان عمل الموارد البشرية: محترف، انجليزي: مبتدئ، البكالوريس: ضروري
محاسب,21/04/1444,إعداد وتنظيم مستندات الصرف ومتابعة تحصيل الإيرادات وتوثيقها وتحليلها، وإعداد القيود المحاسبية وتسجيل العمليات المالية بالسجلات وتدقيق حسابات البنوك وإعداد التسويات اللازمة وإعداد التقارير والوثائق المتعلقة بالنفقات والإيرادات وحفظها.,"['   تدقيق المطالبات المالية والتأكد من اكتمال شروطها القانونية والمالية، وإعداد وتنظيم وتوثيق مستندات الصرف ومتابعة تدقيقها وإجازتها للصرف من الجهات الرقابية المعتمدة.', '  مراقبة النفقات الجارية والرأسمالية بحسب الموقف المالي الشهري لبنود الموازنة، وإعداد الموقف المالي والخلاصات الشهرية وإعداد وتنظيم الحسابات الختامية السنوية.', '  إعداد القيود المحاسبية وتسجيل العمليات المالية بالسجلات وتدقيق حسابات البنوك وإعداد التسويات اللازمة مع كشوف المطابقة الشهرية.', '  تطوير أساليب وإجراءات المحاسبة ومواكبة التطور العلمي والتقني في مجال المحاسبة.', '  إعداد الوثائق والتقارير المتخصصة في مجال محاسبة النفقات والإيرادات وحفظها في قاعدة البيانات الخاصة بذلك.', '  ']",مؤسسة خط الذكاء للمقاولات العامة,خاص,متوسطة فئة ب,الانشاءات العامة للمباني غير السكنية (مثل المدارس والمستشفيات والفنادق ....الخ),"['Language data', 'الانجليزية', 'متوسط']",الرياض,AR RIYADH...,"['Salary', '4000.0']",دوام كامل,0 / 1,2 Years,F,4000.0,غير محدد,0,1,2,2022-11-15,Riyadh,الانجليزية: متوسط
فني ميكانيكي محركات,21/04/1444,متابعة تركيب المحركات الميكانيكية وتحديد القطع التبديلية ومطابقة مواصفاتها والعمل على تأمينها بالإضافة إلى فحص وتشخيص أعطال المحركات ومتابعة إصلاحها.,"['   متابعة تركيب المحركات الميكانيكية و متابعة إجراءات تشغيلها.', '  تحديد القطع التبديلية و مطابقة مواصفاتها و العمل على تأمينها.', '  تنفيذ إجراءات إستلام المحركات الميكانيكية لغايات الخدمة و الإصلاح، و فحص و تشخيص أعطال المحركات و متابعة إصلاحها.', '  اتباع سياسات وإجراءات الصحة والسلامة والبيئة.', '  ', '  ']",شركة الراجح الحديثة للمقاولات المحدودة,خاص,متوسطة فئة ج,إصلاح وصيانة الطرق والشوارع والأرصفة ومستلزمات الطرق,غير معروف,الرياض,AR RIYADH...,"['Salary', '4782.0']",دوام كامل,0 / 1,0 Years,M,4782.0,غير محدد,0,1,0,2022-11-15,Riyadh,
جندي أمن,21/04/1444,تنفيذ الأوامر والتعليمات المبلغة له من قبل ضباط الصف والضباط وقادة الأمن,"['   ', '  ', '  ', '  ', '  ', '  ']",مؤسسة تركي نايف فرحان الشمري للاتصالات,خاص,صغيرة فئة أ,إصلاح وصيانة أجهزة الهواتف المحمولة (الجوال),غير معروف,الحدود الشمالية,AR'AR...,"['Salary', '3200.0', 'Benefits', 'تأمين طبي']",دوام كامل,1 / 5,4 Years,both,0.0,تأمين طبي,1,5,4,2022-11-15,Arar,
مهندس كهربائي,21/04/1444,إعداد التصاميم والمخططات الكهربائية لمشاريع وأعمال الهندسة الكهربائية ومتابعة التنفيذ وإعداد مخططات ومواصفات خطوط شبكات النقل والتوزيع الكهربائية وتحديد مساراتها، وإعداد برامج تشغيل المعدات الكهربائية في المشاريع الصناعية، وتشخيص اعطال الأجهزة والمعدات الكهربائية ومتابعة إجراءات الاصلاح والمعالجة وإعداد الوثائق والتقارير المتخصصة بنتائج هذه الدراسات والتحاليل والقيام بعرضها ومناقشتها,"['   إعداد التصاميم والمخططات الكهربائية لمشاريع وأعمال الهندسة الكهربائية ومتابعة التنفيذ وإعداد مخططات ومواصفات خطوط شبكات النقل والتوزيع الكهربائية وتحديد مساراتها', '  إعداد برامج تشغيل الأنظمة والمعدات الكهربائية بحسب متطلبات العمل، وتشخيص الاعطال ومتابعة إجراءات الاصلاح والصيانة', '  إعداد برامج الصيانة الوقائية للأجهزة والمعدات والشبكات الكهربائية بحسب توصيات الشركة الصانعة والتعليمات', '  تطوير أساليب وإجراءات العمل ومواكبة التطورات التقنية', '  إعداد الوثائق والتقارير المتخصصة بالأعمال والمشروعات الهندسية ونسب تقدمها وعرضها وتوضيحها وحفظها في قاعدة البيانات الخاصة بها وفقاً للسياسات والإجراءات المعتمدة', '  ']",شركة الصخور العربية للصناعة,خاص,صغيرة فئة ب,تركيب وصيانة أجهزة ومعدات الإنذار من الحريق,"['Language data', 'English ', 'متوسط']",الرياض,AR RIYADH...,"['Salary', '7000.0', 'Benefits', '* تامين طبي']",دوام كامل,0 / 1,0 Years,both,0.0,* تامين طبي,0,1,0,2022-11-15,Riyadh,
أخصائي عمليات موارد بشرية,20/04/1444,تنفيذ الإجراءات والأنظمة والنماذج الخاصة بمراقبة دوام الموظفين، والمساهمة في والإشراف على تطبيق سياسات وإجراءات الإجازات المرضية والطارئة، وتحديث المعلومات المتعلقة بالموظفين والتعامل مع شكاويهم واستفساراتهم بمهنية وإعداد الوثائق والتقارير المتخصصة والمتعلقة في مجال عمليات الموارد البشرية وعرضها وحفظها.,"['   تنفيذ الإجراءات والأنظمة والنماذج الخاصة بمراقبة دوام موظفي الفروع وإجازاتهم على اختلاف أنواعها وتعديل النماذج عند الحاجة بالإضافة إلى تطبيق نظام مراقبة الحضور والتأكد من التزامهم بأوقات الدوام الرسمي.', '  تطبيق سياسات وإجراءات الإجازات السنوية والمرضية والطارئة وغيرها من الإجازات المحددة في سياسة العطل والإجازات المعتمدة وتطبيق إجراءات الترقيات ,الإعارة وانتهاء الخدمة وتسجيل كافة وقوعات الموظفين وفقا للأنظمة والإجراءات المعتمدة.', '  التعامل مع شكأوى وملاحظات وطلبات واستفسارات الموظفين بطريقة مهنية ورفع المشاكل حال وجودها إلى مدير الإدارة بشكل فعال', '  تحديث المعلومات المتعلقة بالموظفين وتزويدها لفريق خدمات الموظفين من خلال تسجيل وتوثيق جميع المعلومات المتعلقة بموظفي الجهة كالترقيات والدورات التدريبية والأمور المتعلقة بالرواتب والامتيازات', '  إعداد الوثائق والتقارير المتخصصة والمتعلقة بعمليات الموارد البشرية وتقديم التوصيات المناسبة والحلول الملائمة وعرضها وتوضيحها وحفظها في قاعدة البيانات الخاصة بها وفقاً للسياسات والإجراءات المعتمدة.', '  ']",شركة الصخور العربية للصناعة,خاص,صغيرة فئة ب,تركيب وصيانة أجهزة ومعدات الإنذار من الحريق,"['Skill data', 'مايكروسوفت إكسل ', 'محترف', 'Language data', 'English ', 'متوسط']",الرياض,AR RIYADH...,"['Salary', '5000.0', 'Benefits', '* تأمين طبي']",دوام كامل,0 / 1,0 Years,both,0.0,* تأمين طبي,0,1,0,2022-11-14,Riyadh,مايكروسوفت إكسل: محترف
